"TSID","MSRP","Seating","Doors","Width","Height","Length","Wheelbase","Front_Head_Rm_in","Front_leg_room_IN","Front_shoulder_room_IN","Rear_head_room_IN","Rear leg room_IN","Rear shoulder room_IN","Fuel_Type","Engine_Type_Fuel","Fuel_Tank_Capacity_gal","Range_City_miles","Range_Hwy_miles","Mileage_City","Mileage_Hwy","Pass_Vol","Curb_weight","Cargo_Capacity_CUFT","Drive_Type","Transmission","Engine_Size","CAM_Type","Engine_Type","Cylinders","Engine_Valves","Engine_Torque_FTLBS","Engine_Torque_RPM","Horsepower","Horsepower (RPM)","Turning_circleFT","SmallOLFront","ModerateOLFront","Side","Roof","HeadRestraintsSeats","FrontCrashOPrev","Customer_Rating","Fuel","Insurance","Financing","State_Fees","Maintenance","Repairs","Depreciation"
4050,"26815","4","2",71.20,58.50,168.40,100.00,39.40,41.30,55.30,37.10,31.40,49.00,"Regular","Gas",14.50,333.50,449.50,23,31,100.50,3056,15.40,"FWD","6-speed manual",2.00,"DOHC","Inline","4","16","207","1700","210","5300",35.40,"M","G","G","G","G","NOT AVAILABLE",7.90,"6971.9","2413.35","1608.9","1608.9","1340.75","1072.6","11798.6"
4169,"20830","5","4",69.40,58.30,182.10,103.70,39.60,42.30,54.70,36.90,36.10,54.30,"Regular","Gas",14.50,333.50,449.50,23,31,105.80,3142,12.30,"AWD","CVT",2.40,"DOHC","Inline","4","16","167","4100","168","6000",32.80,"A","G","G","G","G","NOT AVAILABLE",8.70,"5415.8","1874.7","1249.8","1249.8","1041.5","833.2","9165.2"
4273,"27915","4","2",71.20,58.50,168.40,100.00,39.40,41.30,55.30,37.10,31.40,49.00,"Regular","Gas",14.50,348.00,449.50,24,31,100.50,3104,15.40,"FWD","6-speed automatic",2.00,"DOHC","Inline","4","16","207","1700","210","5300",35.40,"M","G","G","G","G","NOT AVAILABLE",7.90,"7257.9","2512.35","1674.9","1674.9","1395.75","1116.6","12282.6"
4348,"41324","5","4",71.30,56.80,184.50,111.80,37.10,41.70,54.70,37.10,35.20,55.00,"Premium","Gas",18.00,432.00,558.00,24,31,88.20,3594,12.60,"4-Wheel Drive","7-speed automatic",2.00,"DOHC","Inline","4","16","273","1300","241","5550",36.80,"G","G","G","G","G","SUPERIOR",8.00,"10744.24","3719.16","2479.44","2479.44","2066.2","1652.96","18182.56"
4350,"23330","5","4",69.40,58.30,182.10,103.70,39.60,42.30,54.70,36.90,36.10,54.30,"Regular","Gas",15.50,341.00,480.50,22,31,104.30,2977,11.80,"FWD","5-speed manual",2.40,"DOHC","Inline","4","16","167","4100","168","6000",32.80,"A","G","G","G","G","NOT AVAILABLE",8.70,"6065.8","2099.7","1399.8","1399.8","1166.5","933.2","10265.2"
4671,"54280","5","4",72.20,57.20,195.50,114.60,40.40,45.70,56.90,37.50,35.40,54.80,"Regular","Gas",19.00,380.00,570.00,20,30,110.70,3765,13.70,"RWD","8-speed automatic",3.60,"DOHC","V","6","24","285","5300","335","6800",37.10,"M","G","G","G","G","SUPERIOR",9.20,"14112.8","4885.2","3256.8","3256.8","2714","2171.2","23883.2"
4832,"27955","5","4",73.00,57.60,191.50,107.80,39.00,42.10,57.50,37.50,36.80,57.10,"Premium","Gas",18.50,388.50,555.00,21,30,116.00,3635,16.30,"FWD","6-speed automatic",2.00,"DOHC","Inline","4","16","295","5200","259","5300",37.40,"G","G","G","G","G","BASIC",8.10,"7268.3","2515.95","1677.3","1677.3","1397.75","1118.2","12300.2"
4877,"29915","5","4",73.10,58.40,190.20,107.80,38.80,42.10,56.70,36.80,37.30,54.40,"Premium","Gas",18.00,370.00,540.00,21,30,111.10,3692,14.20,"FWD","6-speed automatic",2.00,"DOHC","Inline","4","16","295","3000","259","5300",38.10,"G","G","G","G","G","SUPERIOR",8.90,"7777.9","2692.35","1794.9","1794.9","1495.75","1196.6","13162.6"
4882,"30765","5","4",73.10,58.40,190.20,107.80,38.80,42.10,56.70,36.80,37.30,54.40,"Premium","Gas",18.00,378.00,540.00,21,30,111.10,3692,14.20,"FWD","6-speed automatic",2.00,"DOHC","Inline","4","16","295","3000","259","5300",38.10,"G","G","G","G","G","SUPERIOR",8.90,"7998.9","2768.85","1845.9","1845.9","1538.25","1230.6","13536.6"
4930,"37490","5","4",71.30,56.30,183.70,110.20,38.20,44.80,55.90,36.90,32.20,53.40,"Premium","Gas",17.40,365.40,522.00,21,30,104.00,3461,13.80,"RWD","6-speed automatic",2.50,"DOHC","V","6","24","185","4800","204","6400",34.20,"G","G","G","G","G","ADVANCED",8.80,"9747.4","3374.1","2249.4","2249.4","1874.5","1499.6","16495.6"
5302,"22430","5","4",69.40,58.70,180.00,103.70,39.60,42.30,54.70,36.90,36.10,54.30,"Regular","Gas",15.50,356.50,465.00,23,30,105.80,3032,12.30,"FWD","6-speed automatic",2.40,"DOHC","Inline","4","16","167","4100","168","6000",32.80,"A","G","G","G","G","NOT AVAILABLE",8.70,"5831.8","2018.7","1345.8","1345.8","1121.5","897.2","9869.2"
5618,"30540","5","4",73.60,54.90,192.30,108.00,38.70,42.20,58.50,37.40,37.60,56.70,"Regular or E85","Flex-fuel",15.80,284.40,458.20,18,29,115.90,4802,16.00,"AWD","9-speed automatic",3.60,"DOHC","V","6","24","262","4250","295","6350",39.50,"G","G","G","G","G","SUPERIOR",8.00,"7940.4","2748.6","1832.4","1832.4","1527","1221.6","13437.6"
5629,"30020","5","4",73.60,54.90,192.30,108.00,38.70,42.20,58.50,37.40,37.60,56.70,"Regular or E85","Flex-fuel",15.80,284.40,458.20,18,29,115.90,3795,16.00,"AWD","9-speed automatic",3.60,"DOHC","V","6","24","262","4250","295","6350",39.50,"G","G","G","G","G","SUPERIOR",8.00,"7805.2","2701.8","1801.2","1801.2","1501","1200.8","13208.8"
5635,"38950","5","4",74.40,58.30,196.50,118.50,41.10,45.70,58.30,38.20,35.00,57.10,"Regular","Gas",20.30,354.40,588.70,18,29,123.00,4138,15.30,"RWD","8-speed automatic",3.80,"DOHC","V","6","24","293","5000","311","6000",36.20,"G","G","G","G","G","SUPERIOR",9.50,"10127","3505.5","2337","2337","1947.5","1558","17138"
5815,"49540","5","4",72.40,57.30,190.70,112.20,38.00,42.30,57.30,37.80,36.80,55.70,"Premium","Gas",17.40,330.60,504.60,19,29,113.00,3726,14.30,"RWD","8-speed automatic",3.50,"DOHC","V","6","24","277","4800","306","6400",36.80,"G","G","G","G","G","BASIC",9.00,"12880.4","4458.6","2972.4","2972.4","2477","1981.6","21797.6"
5916,"30740","5","4",72.40,59.00,188.80,108.30,40.00,42.90,58.10,37.00,38.10,57.30,"Regular","Gas",18.50,370.00,536.50,20,29,119.60,3666,15.00,"AWD","CVT",3.60,"DOHC","Flat","6","24","247","4400","256","6000",36.80,"G","G","G","G","G","SUPERIOR",8.20,"7992.4","2766.6","1844.4","1844.4","1537","1229.6","13525.6"
5932,"30390","5","4",72.40,59.00,188.80,108.30,40.00,42.90,58.10,37.00,38.10,57.30,"Regular","Gas",18.50,370.00,518.00,20,28,119.60,3662,15.00,"AWD","6-speed automatic",3.60,"DOHC","Flat","6","24","247","4400","256","6000",36.80,"G","G","G","G","G","SUPERIOR",8.30,"7901.4","2735.1","1823.4","1823.4","1519.5","1215.6","13371.6"
5968,"36310","5","4",73.70,65.00,184.40,105.70,38.70,42.00,58.70,38.10,38.30,57.20,"Premium","Gas",16.00,320.00,464.00,20,29,129.60,3737,26.10,"FWD","6-speed automatic",3.50,"DOHC","V","6","24","252","4900","279","6200",38.90,"G","G","G","G","G","SUPERIOR",8.20,"9440.6","3267.9","2178.6","2178.6","1815.5","1452.4","15976.4"
6080,"38055","5","4",71.80,56.80,188.30,112.20,40.20,44.50,56.70,37.50,35.10,56.10,"Premium","Gas",20.00,400.00,580.00,20,29,101.90,3574,13.50,"RWD","7-speed automatic",3.70,"DOHC","V","6","24","269","5200","328","7000",36.70,"A","G","G","G","G","SUPERIOR",8.10,"9894.3","3424.95","2283.3","2283.3","1902.75","1522.2","16744.2"
6117,"34995","5","4",73.20,57.90,193.70,112.00,40.30,45.50,58.30,37.60,36.80,56.40,"Regular","Gas",18.50,370.00,536.50,20,29,123.30,3684,16.30,"FWD","6-speed automatic",3.30,"DOHC","V","6","24","255","5200","293","6400",36.50,"G","G","G","G","G","BASIC",9.10,"9098.7","3149.55","2099.7","2099.7","1749.75","1399.8","15397.8"
6121,"34895","5","4",73.20,57.90,193.70,112.00,40.30,45.50,58.30,37.60,36.80,56.40,"Regular","Gas",18.50,370.00,536.50,20,29,123.30,3684,16.30,"FWD","6-speed automatic",3.30,"DOHC","V","6","24","255","5200","293","6400",36.50,"G","G","G","G","G","BASIC",9.10,"9072.7","3140.55","2093.7","2093.7","1744.75","1395.8","15353.8"
6376,"21381","5","4",72.40,56.70,185.60,106.50,37.60,42.40,57.80,37.00,34.30,56.10,"Premium","Gas",18.50,388.50,536.50,21,29,108.50,3415,14.00,"FWD","6-speed manual",2.40,"DOHC","Inline","4","16","172","4300","201","7000",36.70,"M","G","G","G","G","NOT AVAILABLE",9.30,"5559.06","1924.29","1282.86","1282.86","1069.05","855.24","9407.64"
6388,"48555","5","4",72.20,57.20,195.50,114.60,40.40,45.70,56.90,37.50,35.40,54.80,"Premium","Gas",19.00,399.00,551.00,21,29,110.70,3820,13.70,"AWD","8-speed automatic",2.00,"DOHC","Inline","4","16","295","3000","268","5600",39.00,"M","G","G","G","G","SUPERIOR",9.20,"12624.3","4369.95","2913.3","2913.3","2427.75","1942.2","21364.2"
6889,"21830","5","4",69.40,58.70,180.00,103.70,39.60,42.30,54.70,36.90,36.10,54.30,"Regular","Gas",14.50,319.00,420.50,22,29,105.80,3142,12.30,"AWD","CVT",2.40,"DOHC","Inline","4","16","167","4100","168","6000",32.80,"A","G","G","G","G","NOT AVAILABLE",8.70,"5675.8","1964.7","1309.8","1309.8","1091.5","873.2","9605.2"
7335,"31990","5","4",73.10,59.20,196.90,111.70,38.00,41.70,57.40,37.30,40.50,56.00,"Regular or E85","Flex-fuel",18.50,3330.00,518.00,18,28,101.70,3895,13.30,"FWD","6-speed automatic",3.60,"DOHC","V","6","24","264","5300","304","6800",38.80,"G","G","G","G","G","ADVANCED",8.60,"8317.4","2879.1","1919.4","1919.4","1599.5","1279.6","14075.6"
7357,"31990","5","4",73.10,59.20,196.90,111.70,38.00,41.70,57.40,37.30,40.50,56.00,"Regular or E85","Flex-fuel",18.50,333.00,518.00,18,28,116.00,3895,13.30,"FWD","6-speed automatic",3.60,"DOHC","V","6","24","264","5300","304","6800",38.80,"G","G","G","G","G","ADVANCED",8.60,"8317.4","2879.1","1919.4","1919.4","1599.5","1279.6","14075.6"
7432,"22940","5","4",72.80,57.70,191.40,109.30,39.10,42.50,58.60,37.50,38.50,56.50,"Regular","Gas",17.20,412.80,584.80,24,34,119.00,3192,15.80,"FWD","6-speed manual",2.40,"DOHC","Inline","4","16","181","3900","185","6400",38.10,"G","G","G","G","G","BASIC",8.20,"5964.4","2064.6","1376.4","1376.4","1147","917.6","10093.6"
7459,"44875","5","4",73.30,58.80,191.00,111.60,37.80,41.90,57.40,38.30,35.00,56.30,"Regular","Gas",18.50,351.50,518.00,19,28,112.60,4053,14.90,"AWD","6-speed automatic",3.00,"DOHC","Inline","6","24","325","2100","300","5600",40.00,"G","G","G","G","G","SUPERIOR",9.20,"11667.5","4038.75","2692.5","2692.5","2243.75","1795","19745"
7603,"22151","5","4",72.40,56.70,185.60,106.50,37.60,42.40,57.80,37.00,34.30,56.10,"Premium","Gas",18.50,351.50,518.00,19,28,108.50,3680,14.00,"FWD","5-speed automatic",3.50,"SOHC","V","6","24","254","5000","280","6200",38.10,"M","G","G","G","G","NOT AVAILABLE",9.30,"5759.26","1993.59","1329.06","1329.06","1107.55","886.04","9746.44"
